"","MCFA","MCtFA","MCrstFA","MCFA","MCtFA","MCrstFA","MCFA","MCtFA","MCrstFA"
"BIC",12807.19,12528.24,12264.34,11593.28,11345.05,11112.85,10320.61,10137.37,9949.45
"BIC(sd)",158.14,124.64,115.44,147.41,125.21,117.54,165.75,105.06,95.31
"BIC(freq)",0,0,100,0,0,100,0,0,100
"ICL",13439.51,13369.29,13058.61,12219.9,12231.74,11949.6,10938.29,11033.16,10809.65
"ICL(sd)",196.6,130.53,122.5,202.43,146.66,117.57,216.47,156.96,123.73
"ICL(freq)",1,0,99,2,0,98,23,0,77
"ARI",0.14,0.26,0.43,0.1,0.22,0.38,0.06,0.16,0.33
"ARI(sd)",0.05,0.06,0.1,0.05,0.05,0.07,0.04,0.06,0.06
"ARI(freq)",0,0,100,0,2,98,0,0,100
"CCR",0.69,0.75,0.83,0.66,0.73,0.81,0.62,0.7,0.78
"CCR(sd)",0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03
"CCR(freq)",0,0,100,0,2,98,0,0,100
"MSPE",1.44,0.73,0.53,1.34,0.67,0.46,1.21,0.61,0.4
"MSPE(sd)",0.15,0.1,0.08,0.15,0.07,0.08,0.17,0.06,0.07
"MSPE(freq)",0,0,100,0,0,100,0,1,99
