"","MCFA","MCtFA","MCrstFA","MCFA","MCtFA","MCrstFA","MCFA","MCtFA","MCrstFA","MCFA","MCtFA","MCrstFA"
"BIC",15042.74,14624.76,14049.69,13705.64,13323.97,12810.06,12318.92,11986.11,11536.91,10905.53,10605.89,10233.3
"BIC(sd)",146.06,138.81,131.06,139.06,139.45,129.38,119.88,126.42,120.22,125.76,119.31,110.51
"BIC(freq)",0,0,100,0,0,100,0,0,100,0,0,100
"ICL",15777.67,15333.2,14669.64,14489.77,14113.46,13471.19,13132.1,12836.7,12253.49,11701.23,11477.84,11006.18
"ICL(sd)",157.46,141.07,128.53,155.28,147.64,127.62,137.64,142.98,119.89,158.11,149.32,111.33
"ICL(freq)",0,0,100,0,0,100,0,0,100,0,0,100
"ARI",0.39,0.43,0.52,0.32,0.36,0.46,0.23,0.28,0.41,0.12,0.18,0.34
"ARI(sd)",0.08,0.04,0.03,0.08,0.05,0.03,0.08,0.05,0.03,0.05,0.04,0.03
"ARI(freq)",1,0,99,2,0,98,1,0,99,1,1,98
"CCR",0.81,0.83,0.86,0.78,0.8,0.84,0.74,0.76,0.82,0.67,0.71,0.79
"CCR(sd)",0.03,0.02,0.01,0.04,0.02,0.01,0.04,0.02,0.01,0.03,0.03,0.01
"CCR(freq)",2,0,98,2,0,98,1,0,99,1,1,98
"MSPE",2.24,1.41,1.08,1.96,1.23,0.99,1.64,1.08,0.85,1.4,1.05,0.71
"MSPE(sd)",0.43,0.34,0.09,0.52,0.2,0.1,0.43,0.17,0.1,0.43,0.3,0.13
"MSPE(freq)",2,0,98,8,1,91,7,1,92,10,2,88
