"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",NA,0.1399,0.158,0.1285,0.0775,-0.0243,0.0578,-0.0792,-0.1334,0.0545,-0.0608
"2",-0.0683,NA,0.0447,0.1035,0.0688,0.0231,0.0591,-0.1521,-0.1667,-0.0435,0.0474
"3",0.0825,-0.0357,NA,-0.0322,-0.0529,-0.0846,0.0291,0.1041,0.1013,0.0403,0.1931
"4",0.0954,-0.0758,-0.0849,NA,0.5426,-0.1898,0.3676,-0.5677,-0.5597,-0.067,-0.4639
"5",-0.0089,0.078,0.1446,-0.1012,NA,-0.6778,0.3302,-0.2769,-0.2824,-0.1003,-0.2751
"6",0.1077,-0.0831,-0.0237,-0.0123,-0.0881,NA,0.185,0.1251,0.1468,0.1036,0.1215
"7",-0.0888,-0.0572,0.1458,0.0531,0.0175,0.0628,NA,-0.1594,-0.1924,-0.1621,-0.1711
"8",0.0669,0.1393,-0.1334,0.0971,0.0689,-0.0218,0.1048,NA,0.9486,0.0793,0.7816
"9",-0.0307,7e-04,-0.2544,0.1277,-0.0279,0.0211,-0.1495,0.0395,NA,-0.0096,0.7951
"10",0.1243,-0.0571,-0.0951,0.0209,0.0063,0.3438,0.0272,-0.1809,-0.0831,NA,0.0611
"11",-0.0533,-0.037,-0.1853,-0.0286,0.1555,-0.0636,-0.0774,0.0824,0.0438,-0.0299,NA
