"","est","se"
"w1",0.44,0.169
"xi1,1",-0.867,0.04
"xi2,1",0.65,0.037
"xi3,1",-0.103,0.049
"xi4,1",0.693,0.064
"xi1,2",0.119,0.104
"xi2,2",0.349,0.106
"xi3,2",0.828,0.077
"xi4,2",-0.526,0.053
"la1,1",-0.316,0.522
"la2,1",0.271,0.169
"la3,1",-0.792,0.395
"la4,1",-0.083,0.585
"la1,2",0.618,0.209
"la2,2",-1.079,0.393
"la3,2",-0.054,0.096
"la4,2",0.017,0.072
"om11,1",0.017,0.007
"om21,1",-0.011,0.008
"om31,1",0.005,0.002
"om41,1",-0.029,0.02
"om22,1",0.029,0.006
"om32,1",-0.008,0.001
"om42,1",0.073,0.004
"om33,1",0.003,0.007
"om43,1",-0.018,0.002
"om44,1",0.194,0.016
"om11,2",0.73,0.038
"om21,2",0.404,0.037
"om31,2",0.154,0.036
"om41,2",-0.178,0.016
"om22,2",0.646,0.035
"om32,2",-0.299,0.028
"om42,2",0.11,0.018
"om33,2",0.382,0.019
"om43,2",-0.227,0.006
"om44,2",0.147,0.014
"d11",0.736,0.067
"d22",0.641,0.048
"d33",0.049,0.011
"d44",0.135,0.01
"d55",0.001,0.001
"d66",0.219,0.022
"d77",0.049,0.004
"d88",0.029,0.015
"d99",0.008,0.012
"d1010",0.617,0.047
"d1111",0.277,0.022
"nu1",5.011,0.03
"a11",0.153,0.073
"a21",0.189,0.063
"a31",0.766,0.023
"a41",0.402,0.03
"a51",0.334,0.003
"a61",-0.216,0.039
"a71",0.052,0.02
"a81",-0.047,0.008
"a91",-0.155,0.005
"a101",0.042,0.077
"a111",-0.061,0.045
"a12",0.092,0.087
"a22",-0.067,0.06
"a32",0.56,0.017
"a42",-0.525,0.027
"a52",-0.368,0.004
"a62",0.101,0.036
"a72",-0.05,0.017
"a82",0.324,0.01
"a92",0.28,0.009
"a102",0.044,0.07
"a112",0.254,0.03
"a13",0.263,0.122
"a23",0.033,0.098
"a33",0.038,0.023
"a43",-0.313,0.062
"a53",-0.284,0.003
"a63",0.019,0.065
"a73",0.009,0.033
"a83",-0.039,0.036
"a93",-0.802,0.026
"a103",0.08,0.126
"a113",-0.314,0.074
"a14",-0.017,0.169
"a24",0.001,0.147
"a34",-0.147,0.039
"a44",0.186,0.095
"a54",0.171,0.003
"a64",0.03,0.097
"a74",0.086,0.048
"a84",0.83,0.052
"a94",-0.316,0.016
"a104",-0.182,0.191
"a114",0.291,0.094
